price,charges,surface,disposition,address,district
15000,3000,23,DISP_1_KK,"Holečkova, Praha - Košíře",Praha-Košíře
15000,3000,42,DISP_2_KK,"Pavlíkova, Praha - Kamýk",Praha-Kamýk
18990,0,36,DISP_1_KK,"Poděbradská, Praha - Vysočany",Praha-Hloubětín
60772,10725,44,UNDEFINED,"V Háji, Praha - Holešovice",Praha-Holešovice
21000,3300,33,DISP_1_KK,"Poděbradská, Praha - Hloubětín",Praha-Hloubětín
18000,0,44,DISP_1_KK,"Kotlaska, Praha - Libeň",Praha-Libeň
26500,6000,67,DISP_2_KK,"Osadní, Praha - Holešovice",Praha-Holešovice
26368,4653,42,UNDEFINED,"Orebitská, Praha - Žižkov",Praha-Žižkov
19000,5000,55,DISP_1_KK,"Sídlištní, Praha - Suchdol",Praha-Suchdol
21990,0,34,DISP_1_KK,"Modrého, Praha - Hloubětín",Praha-Hloubětín
24000,4000,51,DISP_2_KK,"Gollové, Praha - Hlubočepy",Praha-Hlubočepy
32900,169,81,DISP_2_KK,"Mukařovského, Praha - Stodůlky",Praha-Stodůlky
7500,0,86,DISP_4_KK,"Za Hotely, Horoměřice - Horoměřice, Středočeský kraj",Horoměřice
28953,5109,43,UNDEFINED,"Zbraslavská, Praha - Malá Chuchle",Praha-Malá Chuchle
19990,0,52,DISP_1_1,"náměstí 14. října, Praha - Smíchov",Praha-Smíchov
21000,2960,33,DISP_1_KK,"Gerstelova, Praha - Vysočany",Praha-Vysočany
22990,0,50,DISP_2_KK,"Biskupcova, Praha - Žižkov",Praha-Žižkov
21000,3000,45,DISP_2_KK,"Neumannova, Praha - Zbraslav",Praha-Zbraslav
19000,4500,43,DISP_2_KK,"Slavatova, Praha - Kyje",Praha-Kyje
37000,6047,87,DISP_3_KK,"Nad Kolčavkou, Praha - Libeň",Praha-Libeň
15000,5000,48,DISP_2_KK,"Augustinova, Praha - Chodov",Praha-Chodov
22990,5000,30,DISP_1_KK,"Kovářská, Praha - Libeň",Praha-Libeň
18500,3900,32,DISP_1_KK,"Poděbradská, Praha - Hloubětín",Praha-Hloubětín
19490,0,33,DISP_1_KK,"Poděbradská, Praha - Hloubětín",Praha-Hloubětín
21990,0,32,DISP_1_KK,"Ondříčkova, Praha - Žižkov",Praha-Žižkov
22000,3000,54,DISP_2_KK,"Komunardů, Praha - Holešovice",Praha-Holešovice
26900,5000,45,DISP_1_KK,"Osadní, Praha - Holešovice",Praha-Holešovice
27740,12815,35,UNDEFINED,"Hlaváčkova, Praha - Košíře",Praha-Košíře
24000,3900,50,DISP_2_KK,"Malešická, Praha - Žižkov",Praha-Žižkov
13500,3500,34,DISP_1_KK,"Kokořínská, Praha - Ďáblice",Praha-Ďáblice
17490,0,32,DISP_1_KK,"Horňátecká, Praha - Kobylisy",Praha-Kobylisy
15500,3350,39,DISP_1_1,"Okořská, Praha - Čimice",Praha-Čimice
72731,12835,72,UNDEFINED,"Malešická c, Praha - Žižkov",Praha-Žižkov
65011,11473,91,UNDEFINED,"U Pergamenky, Praha - Holešovice",Praha-Holešovice
20490,0,56,DISP_3_KK,"Svojšovická, Praha - Záběhlice",Praha-Záběhlice
23500,7550,66,DISP_2_1,"Žinkovská, Praha - Strašnice",Praha-Strašnice
21500,5565,60,DISP_2_1,"U Okrouhlíku, Praha - Smíchov",Praha-Smíchov
23990,2430,55,DISP_2_KK,"Klapkova, Praha - Kobylisy",Praha-Kobylisy
37000,7500,130,DISP_4_KK,"Stočesova, Praha - Ruzyně",Praha-Ruzyně
34110,6019,35,UNDEFINED,"Olgy Havlové, Praha - Žižkov",Praha-Žižkov
38000,6000,120,DISP_3_1,"Rumunská, Praha - Vinohrady",Praha-Vinohrady
36299,6406,38,UNDEFINED,"Kurta Konráda, Praha - Libeň",Praha-Libeň
25000,6000,55,DISP_2_KK,"Malešická, Praha - Žižkov",Praha-Žižkov
17990,2990,45,DISP_1_1,"Mošnova, Praha - Smíchov",Praha-Smíchov
27500,210,65,DISP_2_1,"Kodaňská, Praha - Vršovice",Praha-Vršovice
9900,1500,17,GARSONIERA,"Maková, Praha - Křeslice",Praha-Křeslice
42900,5600,85,DISP_3_KK,"Čechova, Praha - Bubeneč",Praha-Bubeneč
29000,3000,48,DISP_2_KK,"Náprstkova, Praha - Staré Město",Praha-Staré Město
26000,1500,48,DISP_2_KK,"Biskupcova, Praha - Žižkov",Praha-Žižkov
23000,8400,72,DISP_3_KK,"Hlivická, Praha - Bohnice",Praha-Bohnice
25000,6000,66,DISP_3_KK,"Františka Štěpánka, Praha - Hostivař",Praha-Hostivař
18000,0,30,DISP_1_KK,"Poděbradská, Praha - Hloubětín",Praha-Hloubětín
34990,7650,72,DISP_2_KK,"Sokolova, Praha - Karlín",Praha-Karlín
21490,0,65,DISP_3_KK,"Brandlova, Praha - Chodov",Praha-Chodov
10000,1500,90,DISP_4_1,"Pertoldova, Praha - Modřany",Praha-Modřany
27085,4780,22,UNDEFINED,"Kubánské náměstí, Praha - Vršovice",Praha-Vršovice
46464,8200,45,UNDEFINED,"Plzeňská, Praha - Smíchov",Praha-Smíchov
73483,34433,50,UNDEFINED,"Soukenická, Praha - Nové Město",Praha-Nové Město
16490,0,22,DISP_1_KK,"Bozděchova, Praha - Smíchov",Praha-Smíchov
69481,12261,59,UNDEFINED,"Rostovská, Praha - Vršovice",Praha-Vršovice
33000,5000,123,DISP_4_KK,"V Háji, Praha - Holešovice",Praha-Holešovice
22000,3500,52,DISP_2_KK,"Zakšínská, Praha - Střížkov",Praha-Střížkov
29000,6400,74,DISP_3_KK,"K Červenému vrchu, Praha - Vokovice",Praha-Vokovice
