item,title,price,packaging
cibule,Česnek červený loupaný,154.9,500.0 g
cibule,Dobroty s příběhem Pikantní nakládaný hermoš s cibulí a feferonkami 5 ks,489.0,1.51 kg
cibule,"Dupetky Hořčice, med a cibule",22.9,70.0 g
cibule,Cibule Bistro Kuře na paprice omáčka,124.9,400.0 ml
cibule,"Farma Hana Součková Cibulka lahůdková jarní, svazek",27.9,130.0 g
cesnek,Česnek bílý,15.992,80.0 g
cesnek,Česnek Paličák,54.9,250.0 g
cesnek,"Farma Hrdlička Česnek bílý, síť",69.9,200.0 g
cesnek,J.C. Horn Česnek sušený granulovaný,16.9,25.0 g
cesnek,"Farma Hrdlička Česnek bílý, síť",109.9,500.0 g
cesnek,"Česnek bílý, svazek",42.9,190.0 g
cesnek,Avokádo Česnek sušený granulovaný,18.9,30.0 g
cesnek,Vitana Česnek sušený mletý,25.9,25.0 g
cesnek,Milko Žervé česnek a bylinky,15.9,80.0 g
cesnek,Česnek červený loupaný,154.9,500.0 g
cesnek,Česnek červený loupaný čerstvý,49.9,100.0 g
cesnek,"Cibule žlutá, síť",19.9,1.0 kg
cesnek,Metro Chef Česnek sekaný,59.9,300.0 g
cesnek,Vitana Česnek opečený kousky,21.9,28.0 g
cesnek,Metro Chef Česnek loupaný,259.9,800.0 g
cesnek,Česnek stroužky,54.9,500.0 g
cesnek,"Česnek, síť",199.9,1.0 kg
cesnek,Česnek jednostroužkový,109.9,240.0 g
cesnek,"Česnek bílý, síť",199.9,1.0 kg
cesnek,Vitana Medvědí česnek,19.9,4.0 g
cesnek,Efko Česnek marinovaný,67.9,210.0 ml
cesnek,Česnek drcený porce,64.9,1.0 kg
cesnek,Cibule červená Gourmet,34.9,1.0 kg
cesnek,Efko Česnek chilli,67.9,210.0 ml
cesnek,Česnek,129.9,500.0 g
cesnek,Originální hospodské brambůrky česnek,39.9,200.0 g
cesnek,Metro Chef Olej olivový česnek,99.9,250.0 ml
cesnek,"Cibulka lahůdková, svazek",15.9,150.0 g
cesnek,Strážnické Brambůrky Česnekové,12.5,60.0 g
cesnek,Pór,24.9,250.0 g
syr_eidam,Fine Life Eidam plátky 30%,18.9,100.0 g
syr_eidam,Fine Life Eidam 30 % bloček,35.9,200.0 g
syr_eidam,Fine Life Eidam 45% plátky,18.9,100.0 g
syr_eidam,Madeta Eidam jihočeský plátkový (30%),24.9,100.0 g
syr_eidam,"Madeta Jihočeský Eidam sýr 20%, plátky",24.9,100.0 g
syr_eidam,"Čerstvě nakrájeno Eidam 45%, plátky",45.487,130.0 g
syr_eidam,"Čerstvě nakrájeno Eidam 30%, bloček",77.487,230.0 g
syr_eidam,Fine Life Eidam uzený plátky 30%,19.9,100.0 g
syr_eidam,Madeta Jihočeský Eidam plátky (45%),24.9,100.0 g
syr_eidam,ARO Eidam 30% strouhaný,39.9,150.0 g
syr_eidam,Madeta Jihočeský Eidam sýr uzený 44% plátky,26.9,100.0 g
syr_eidam,Šumavský Eidam strouhaný (30%),39.9,100.0 g
syr_eidam,Matylda BIO Eidam plátky (30%),32.9,100.0 g
syr_eidam,"Čerstvě nakrájeno Eidam 30%, sýr na smažení (cca 2x100 g)",56.678999999999995,210.0 g
syr_eidam,"Šumavský Eidam, strouhaný (45%)",39.9,100.0 g
syr_eidam,Eidam sýr 30%,352.35,1.5 kg
syr_eidam,Laktos Eidam 30% sýr plátky,74.9,250.0 g
syr_eidam,Eidam sýr 45%,287.88,1.2 kg
syr_eidam,Šumavský Eidam plátky (20%),29.9,100.0 g
syr_eidam,Jaroměřická Mlékárna Eidam plátkový sýr (30%),34.9,100.0 g
syr_eidam,Milko Eidam uzený 30% plátky ,39.9,100.0 g
syr_eidam,ARO Eidam strouhaný 40%,199.9,1.0 kg
syr_eidam,Jaroměřická Mlékárna Eidam plátkový sýr (45%),34.9,100.0 g
syr_eidam,Metro Chef Eidam uzený 45% plátky,194.9,750.0 g
syr_eidam,Šumavský Eidam 45% sýr,264.9,1.0 kg
syr_eidam,Šumavský eidam sýr 30% plátky,26.9,100.0 g
syr_eidam,Madeta Jihočeský Eidam sýr uzený 44%,418.5,1.5 kg
syr_eidam,Moravia Eidam sýr uzený 45%,323.87999999999994,1.2 kg
syr_eidam,Metro Chef Eidam plátky 30% vanička,354.0,1.0 kg
syr_eidam,Bohemilk Selský sýr 48 % plátky ,42.9,100.0 g
tunak,Tuňák žlutoploutvý Sashimi AA steak,254.75,250.0 g
tunak,Friendly Maldives MSC steak z tuňáka ve slunečnicovém oleji,79.9,185.0 g
tunak,Rio Mare Tuňák Filod'olio 3 x 65 g,149.9,195.0 g
tunak,Rio Mare Tuňák v olivovém oleji,99.9,160.0 g
tunak,Rio Mare Tuňák ve vlastní šťávě 3x80g,149.9,240.0 g
tunak,Rio Mare Tuňák v olivovém oleji 3x80g,149.9,240.0 g
tunak,"Calvo Tuňák v bio extra panenském olivovém oleji, 3x65g",239.9,195.0 g
tunak,Rio Mare Tuňák ve vlastní šťávě,99.9,160.0 g
tunak,Trata High Protein Meal Tuňák s černou čočkou a dýní,89.9,140.0 g
tunak,Giana Tuňák kousky ve slunečnicovém oleji 3x80g,104.9,240.0 g
tunak,Friendly Maldives MSC steak z tuňáka ve vlastní šťávě,99.9,185.0 g
tunak,Giana Tuňák drcený ve vlastní šťávě,37.9,170.0 g
tunak,Rio Mare Tuňák natura 3x56g,169.9,168.0 g
